Exam,Section(s),Day,Date,Start,Finish,Location
ACC 606,001002,,,,,See instructor for exam details
ACTSC 221,001,Wednesday,"August 14, 2024",9:00 AM,11:30 AM,PAC 6
ACTSC 231,001002,Thursday,"August 15, 2024",7:30 PM,10:00 PM,STC 1012
ACTSC 232,001,Thursday,"August 8, 2024",7:30 PM,10:00 PM,MC 4061
ACTSC 331,001,Thursday,"August 8, 2024",9:00 AM,11:30 AM,MC 4045
ACTSC 363,001,Wednesday,"August 7, 2024",9:00 AM,11:30 AM,MC 4063
ACTSC 372,001002,Wednesday,"August 7, 2024",4:00 PM,6:30 PM,"PAC UPPER 9, 10"
ACTSC 431,001,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,MC 4063
ACTSC 432,001,Wednesday,"August 7, 2024",12:30 PM,3:00 PM,PAC 6
ACTSC 631,001,,,,,See instructor for exam details
ACTSC 632,001,,,,,See instructor for exam details
ACTSC 633,001,,,,,See instructor for exam details
ACTSC 634,001,,,,,See instructor for exam details
ACTSC 635,001,,,,,See instructor for exam details
ACTSC 900,001,,,,,See instructor for exam details
AE 105,001,Tuesday,"August 13, 2024",9:00 AM,11:30 AM,PAC 1
AE 121,001,Friday,"August 9, 2024",9:00 AM,11:30 AM,"CPH 1325, 1346, E2 1792"
AE 123,001,Friday,"August 2, 2024",4:00 PM,6:00 PM,DC 1350
AE 279,001,Friday,"August 9, 2024",9:00 AM,11:30 AM,"ARC 1113, 3003"
AE 303,001,Wednesday,"August 7, 2024",4:00 PM,6:30 PM,"ARC 1113, 3003"
AE 491,001,Thursday,"August 8, 2024",9:00 AM,11:30 AM,"PAC 2, 4"
AE 572,001,Friday,"August 9, 2024",4:00 PM,6:30 PM,"E5 3101, 3102"
AFM 113,001,Thursday,"August 15, 2024",12:30 PM,3:00 PM,MC 4063
AFM 121,001,Saturday,"August 10, 2024",9:00 AM,11:30 AM,STC 0010
AFM 182,001,Friday,"August 9, 2024",12:30 PM,3:00 PM,MC 4064
AFM 241,001-005,Thursday,"August 8, 2024",12:30 PM,3:00 PM,"PAC 1, 3, 5"
AFM 244,001-004,Monday,"August 12, 2024",4:00 PM,5:30 PM,Online-See instructor for exam details
